City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
674,Dakar,SN,82.4,clear sky,14.69,-17.44,Novotel Dakar
676,Luanda,AO,77.0,broken clouds,-8.84,13.23,EPIC SANA Luanda
677,Byron Bay,AU,75.2,broken clouds,-28.65,153.62,Backpackers Inn on the Beach
678,Omboue,GA,75.79,overcast clouds,-1.57,9.26,Hotel Olako
679,Nautla,MX,77.32,clear sky,20.22,-96.78,Casa Blanca
682,Karratha,AU,78.94,clear sky,-20.74,116.85,ibis Styles Karratha
683,Miri,MY,77.0,scattered clouds,4.41,114.01,"Mega Hotel, Miri"
687,Bairiki,KI,86.0,scattered clouds,1.33,172.98,Tarawa Boutique Hotel
695,Sakit,IN,70.16,clear sky,27.45,78.82,Laucky house
696,Zhuhai,CN,73.4,few clouds,22.28,113.57,珠海粤财假日酒店
699,Goure,NE,84.0,clear sky,13.98,10.27,
703,Alugan,PH,84.2,overcast clouds,12.22,125.48,BEMBEM RAIN FEED RESORT
706,Anito,PH,84.67,overcast clouds,12.45,125.29,The Yellow House
709,Madimba,TZ,75.7,overcast clouds,-10.4,40.33,
710,Hobyo,SO,81.07,overcast clouds,5.35,48.53,Osmani Hotel
711,Galle,LK,79.03,light rain,6.04,80.22,Amangalla
714,Praia,CV,78.8,scattered clouds,14.92,-23.51,LT Aparthotel
716,Oussouye,SN,78.8,clear sky,12.48,-16.55,Auberge du Routard
717,Manadhoo,MV,81.27,light rain,5.77,73.38,Vevu Guesthouse
